trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
123,False,"{'a': 0.4913899999999982, 'e': 0.9403529457394166}",30,7,-203.0204690760545,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 4}",1
124,False,"{'a': 0.4913199999999982, 'e': 0.9398828867910769}",25,0,-93.01670015730694,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
125,False,"{'a': 0.4912499999999982, 'e': 0.9394130628134636}",25,18,-3.67574788042156,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.4911799999999982, 'e': 0.938943473689121}",25,0,-100.52908594739809,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
127,False,"{'a': 0.49110999999999816, 'e': 0.9384741193006516}",25,0,-136.68962575852015,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
128,False,"{'a': 0.49103999999999814, 'e': 0.938004999530717}",25,10,-26.219313511360617,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 0}",1
129,False,"{'a': 0.49096999999999813, 'e': 0.9375361142620372}",20,0,-97.20724227591151,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
130,False,"{'a': 0.4908999999999981, 'e': 0.9370674633773908}",25,1,-240.61374860670577,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 5}",1
131,False,"{'a': 0.4908299999999981, 'e': 0.9365990467596151}",20,0,-26.863144183331784,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
132,False,"{'a': 0.4907599999999981, 'e': 0.9361308642916061}",30,0,-153.61790970028196,"{0: 16, 1: 2, 2: 10, 3: 1, 4: 1}",0
133,False,"{'a': 0.49068999999999807, 'e': 0.9356629158563179}",25,0,-104.55402268506637,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
134,False,"{'a': 0.49061999999999806, 'e': 0.9351952013367636}",30,0,-45.95565043510668,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
135,False,"{'a': 0.49054999999999804, 'e': 0.9347277206160145}",20,0,-140.46040301057596,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
136,False,"{'a': 0.49047999999999803, 'e': 0.9342604735772003}",25,0,-59.302164653094934,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
137,False,"{'a': 0.490409999999998, 'e': 0.9337934601035095}",20,0,-204.40892410454904,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 4}",0
138,False,"{'a': 0.490339999999998, 'e': 0.9333266800781886}",20,0,-163.81989024647254,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
139,False,"{'a': 0.490269999999998, 'e': 0.9328601333845425}",20,0,-154.73340413038665,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
140,False,"{'a': 0.49019999999999797, 'e': 0.9323938199059347}",20,0,-53.5033902041368,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
141,False,"{'a': 0.49012999999999796, 'e': 0.9319277395257867}",35,0,-191.44376783493766,"{0: 18, 1: 4, 2: 10, 3: 1, 4: 2}",0
142,False,"{'a': 0.49005999999999794, 'e': 0.9314618921275785}",20,0,-70.0033067343025,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
143,False,"{'a': 0.4899899999999979, 'e': 0.930996277594848}",30,0,-134.82244844396033,"{0: 14, 1: 5, 2: 10, 3: 1, 4: 0}",0
144,False,"{'a': 0.4899199999999979, 'e': 0.9305308958111919}",25,0,-129.96752521830527,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
145,False,"{'a': 0.4898499999999979, 'e': 0.9300657466602645}",20,0,-107.71885214467648,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
146,False,"{'a': 0.4897799999999979, 'e': 0.9296008300257786}",35,0,-229.87640322349623,"{0: 18, 1: 2, 2: 12, 3: 0, 4: 3}",0
147,False,"{'a': 0.48970999999999787, 'e': 0.9291361457915052}",20,0,-121.40895239504721,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
148,False,"{'a': 0.48963999999999785, 'e': 0.9286716938412729}",30,0,-252.22593057983383,"{0: 14, 1: 3, 2: 7, 3: 3, 4: 3}",0
149,False,"{'a': 0.48956999999999784, 'e': 0.9282074740589691}",25,6,-86.88724882537021,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 1}",1
150,False,"{'a': 0.4894999999999978, 'e': 0.9277434863285384}",30,16,-52.06864883851402,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
151,False,"{'a': 0.4894299999999978, 'e': 0.9272797305339843}",20,0,2.0438039136487838,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
152,False,"{'a': 0.4893599999999978, 'e': 0.9268162065593677}",25,0,-149.42966038253283,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
